codigo_ibge_origin,latitude_origin,longitude_origin,codigo_uf_origin,codigo_ibge_destination,latitude_destination,longitude_destination,codigo_uf_destination
2209377,-679.581,-422.814,22,2209856,-681.203,-413.415,22
1200435,-944.652,-704.902,12,2209872,-395.497,-412.569,22
4215653,-291.313,-497.109,42,3162252,-168.455,-443.507,31
1718907,-114.474,-481.216,17,3162302,-21.928,-459.297,31
3547650,-202.429,-506.887,35,5220058,-168.126,-504.092,52
3204609,-199.363,-405.979,32,1507466,-857.885,-47.918,15
2928505,-127.697,-395.215,29,3162401,-159.271,-440.096,31
2513802,-707.964,-374.435,25,2209906,-551.081,-418.923,22
4317251,-291.655,-517.351,43,4318424,-278.195,-518.257,43
5219605,-137.138,-490.144,52,2209955,-694.082,-418.889,22
4124020,-250.543,-536.274,41,3549201,-203.879,-503.792,35
1719004,-102.746,-478.033,17,3162450,-148.859,-440.922,31
4215679,-267.813,-50.009,42,3549250,-205.111,-503.561,35
5107776,-104.704,-50.514,51,3305109,-228.058,-433.729,33
2612802,-737.696,-374.787,26,1507474,-780.222,-47.181,15
5219704,-144.326,-497.091,52,3162500,-211.311,-442.526,31
4124053,-254.391,-54.402,41,1507508,-536.334,-487.926,15
4215687,-26.624,-531.997,42,2209971,-38.186,-424.459,22
1720002,-644.438,-476.684,17,4124905,-228.535,-523.411,41
3159803,-188.414,-501.208,31,2514008,-738.168,-365.345,25
4317301,-33.525,-533.717,43,2111029,-35.503,-462.507,21
2928000,-112.508,-39.375,29,4216354,-266.213,-487.683,42
2928208,-129.792,-440.506,29,4125001,-239.833,-518.215,41
1600600,-45.434,-511.729,16,2312502,-527.516,-382.694,23
4317004,-308.697,-53.11,43,3162559,-203.933,-421.533,31
3547205,-202.523,-508.014,35,3162575,-18.723,-411.628,31
3158300,-212.449,-455.005,31,4216255,-270.984,-535.977,42
3158409,-212.893,-425.524,31,3162609,-193.384,-421.575,31
2513505,-754.705,-383.236,25,3162658,-165.373,-445.134,31
3547304,-234.439,-469.178,35,3162708,-153.168,-420.213,31
3158508,-189.962,-440.409,31,2111052,-645.634,-470.594,21
2312007,-346.144,-402.118,23,3549300,-212.662,-516.672,35
1506708,-93.281,-50.35,15,2210003,-835.466,-422.559,22
2312106,-717.613,-397.302,23,4318432,-296.194,-534.439,43
3158607,-219.512,-431.583,31,2500700,-672.195,-384.468,25
3158706,-215.983,-44.105,31,2412104,-671.387,-372.027,24
2708006,-936.999,-37.248,27,2111078,-510.821,-438.163,21
4124004,-237.587,-496.293,41,4216404,-292.154,-498.094,42
3158805,-209.007,-451.285,31,2514107,-807.703,-368.547,25
3158904,-201.031,-419.278,31,4125100,-25.683,-502.949,41
2110237,-3.109,-424.064,21,2111102,-64.934,-437.036,21
2411403,-594.605,-366.578,24,3162807,-18.548,-427.655,31
2708105,-917.141,-362.176,27,3162906,-215.381,-430.069,31
3158953,-193.661,-425.446,31,4216503,-282.887,-499.457,42
2209351,-694.696,-415.178,22,3549409,-205.812,-478.593,35
3159001,-191.662,-43.722,31,3162922,-20.048,-442.749,31
2806404,-102.922,-366.105,28,2613305,-843.196,-358.035,26
2411429,-676.643,-367.312,24,4318440,-284.984,-517.064,43
2513604,-738.162,-379.819,25,4125209,-257.085,-529.204,41
3159100,-207.868,-436.949,31,4125308,-234.336,-522.929,41
2928307,-120.311,-388.694,29,4125357,-237.647,-538.823,41
1506807,-243.849,-546.996,15,4216602,-276.136,-486.366,42
1506906,-93.097,-473.855,15,3162948,-207.178,-46.313,31
4317400,-291.897,-548.666,43,3549508,-205.935,-476.424,35
4215695,-266.388,-526.799,42,4125407,-239.122,-496.577,41
5107263,-144.945,-570.091,51,2613404,-888.937,-351.515,26
2928604,-125.472,-387.137,29,2514206,-693.646,-381.622,25
4215703,-276.852,-487.813,42,2708303,-901.278,-360.515,27
2806602,-107.892,-370.564,28,3162955,-196.971,-439.586,31
2110278,-250.068,-43.238,21,3163003,-183.243,-421.431,31
3547700,-219.747,-516.527,35,2708402,-955.768,-373.831,27
3547809,-236.737,-465.432,35,3163102,-197.006,-44.556,31
2513851,-722.016,-366.213,25,2929354,-150.787,-393.437,29
4317509,-283.001,-542.668,43,4318457,-277.789,-531.226,43
2411502,-631.195,-354.739,24,4125456,-248.369,-540.572,41
3547908,-210.864,-471.464,35,2514305,-724.636,-382.989,25
5219712,-175.585,-506.345,52,2514404,-683.974,-373.214,25
4317608,-298.268,-505.175,43,2412203,-60.773,-352.417,24
4124103,-232.959,-500.815,41,2514503,-71.187,-38.502,25
4317707,-28.514,-552.251,43,2514552,-773.633,-380.894,25
5219738,-164.815,-493.096,52,2111201,-254.704,-440.597,21
2928703,-129.614,-392.584,29,3305133,-213.661,-419.511,33
2209401,-698.676,-412.252,22,3163201,-223.243,-455.258,31
3304706,-21.541,-421.832,33,3549607,-226.414,-445.774,35
3548005,-226.029,-469.192,35,2613503,-785.723,-387.577,26
3159902,-20.943,-449.176,31,2514602,-71.607,-373.036,25
3548054,-209.331,-50.498,35,2514651,-621.054,-373.601,25
3160009,-217.606,-428.115,31,3204807,-210.274,-416.636,32
4124202,-227.351,-52.344,41,2412302,-631.087,-357.067,24
5219753,-159.412,-482.578,52,4216701,-264.561,-534.955,42
3160108,-203.185,-426.047,31,4216800,-276.602,-505.733,42
1303700,-309.544,-679.463,13,2210052,-381.411,-418.308,22
3160207,-184.609,-433.006,31,3163300,-184.793,-413.907,31
3160306,-165.332,-401.817,31,2613602,-746.945,-37.274,26
3548104,-221.121,-466.845,35,3163409,-199.214,-427.035,31
5107792,-14.805,-536.075,51,4318465,-29.052,-52.295,43
5107800,-158.632,-560.788,51,4318481,-29.528,-51.245,43
3160405,-20.085,-452.947,31,4318499,-277.251,-541.275,43
4317558,-284.956,-520.267,43,2929370,-114.137,-398.669,29
4124301,-234.969,-506.455,41,3163508,-18.281,-426.729,31
